date,infusion pump,brand,status,note, statistics/month
31/1/2022,syring pump ,terumo  54-46,ready,,10
31/1/2023,syring pump ,terumo  56-46,ready,,15
31/1/2024,syring pump ,fresinius 135-56,ready,,15
31/1/2025,syring pump ,fresinius 136-56,ready,,15
31/1/2026,syring pump ,fresinius 139-56,ready,,15
31/1/2027,fresinius ,blue-or  112-59,ready,,15
31/1/2028,fresinius ,blue-or  113-59,ready,,10
31/1/2029,fresinius ,blue-or  114-59,ready,,7
31/1/2030,fresinius ,blue-or  115-59,ready,,7
31/1/2031,fresinius ,blue-or  116-59,ready,,7
31/1/2032,fresinius ,blue-or  120-59,ready,,7
31/1/2033,fresinius ,blue-or  121-59,ready,,7
31/1/2034,fresinius ,blue-or 122-59,ready,,1
31/1/2035,fresinius ,blue-or  123-59,ready,,14
31/1/2036,fresinius ,blue-or  124-59,ready,,1
31/1/2037,fresinius ,blue-or 125-59,ready,,1
31/1/2038,fresinius ,blue-gr 138-59,ready,,1
31/1/2039,fresinius ,blue-gr 139-59,ready,,5
31/1/2040,fresinius ,blue-gr 140-59,ready,,7
31/1/2041,fresinius ,blue-gr 141-59,ready,,3
31/1/2042,fresinius ,blue-gr 142-59,ready,,7
31/1/2043,fresinius ,blue-gr 143-59,ready,,3
31/1/2044,fresinius ,blue-gr 144-59,ready,,2
31/1/2045,fresinius ,sky  25-63,ready,,15
31/1/2046,fresinius ,sky 26-63,ready,,15
31/1/2047,fresinius ,sky 27-63,ready,,14
31/1/2048,fresinius ,sky 28-63,ready,,12
31/1/2049,fresinius ,sky 29-63,ready,,10
31/1/2050,fresinius ,sky 35-63,ready,,16
